:ID;:LABEL;country;city;street;zip_code
151;Address;Italy;Ancona;Strada Paoletta, 27 Appartamento 4;85021
156;Address;Italy;Ancona;Incrocio Antonucci, 9;18033
161;Address;Italy;Agrigento;Vicolo Fabio, 30 Appartamento 38;86083
166;Address;Italy;Ancona;Via Antonello, 9 Appartamento 97;83054
171;Address;Italy;Belluno;Via Argan, 0;39048
176;Address;Italy;Vercelli;Via Scotti, 670 Appartamento 48;13814
181;Address;Italy;Ancona;Via Angelina, 84 Piano 0;85022
186;Address;Italy;Cagliari;Stretto Luisa, 297;84083
191;Address;Italy;Grosseto;Piazza Carolina, 40 Piano 3;09077
196;Address;Italy;La Spezia;Incrocio Sagese, 9;27044
201;Address;Italy;Reggio Calabria;Contrada Ramazzotti, 1;85020
206;Address;Italy;Verbano-Cusio-Ossola;Canale Leone, 632;38045
211;Address;Italy;Lodi;Vicolo Cavalcanti, 54 Appartamento 17;23030
216;Address;Italy;Monza e della Brianza;Viale Gualandi, 729 Appartamento 9;46035
221;Address;Italy;Prato;Incrocio Brichese, 6 Appartamento 48;60122
226;Address;Italy;Catania;Viale Fanucci, 6;00172
231;Address;Italy;Lecce;Incrocio Bonino, 4;98136
236;Address;Italy;Como;Strada Taccola, 46 Piano 8;71024
241;Address;Italy;Biella;Viale Ippazio, 52;22021
246;Address;Italy;Caltanissetta;Piazza Monica, 91 Appartamento 7;23889
251;Address;Italy;Udine;Stretto Paride, 4;67043
256;Address;Italy;Matera;Vicolo Mannoia, 66;06046
261;Address;Italy;Chieti;Via Sagredo, 5 Piano 4;82034
266;Address;Italy;Enna;Stretto Venancio, 84;20824
271;Address;Italy;Teramo;Viale Letizia, 16 Piano 9;26854
276;Address;Italy;Bolzano;Stretto Susanna, 113;63072
281;Address;Italy;Cuneo;Strada Panatta, 887;10078
286;Address;Italy;La Spezia;Strada Livio, 3 Piano 3;74010
291;Address;Italy;Brindisi;Stretto Novaro, 99 Appartamento 2;00059
296;Address;Italy;Sondrio;Contrada Bertoni, 96 Appartamento 1;09088
301;Address;Italy;Fermo;Stretto Nicoletta, 6 Piano 2;34149
306;Address;Italy;Medio Campidano;Contrada Delfino, 63 Piano 8;14041
311;Address;Italy;Grosseto;Rotonda Federica, 9 Piano 7;24010
316;Address;Italy;Milano;Piazza Cianciolo, 4 Appartamento 7;73035
321;Address;Italy;Lodi;Incrocio Lodovico, 46 Appartamento 8;92026
326;Address;Italy;Piacenza;Rotonda Griselda, 973;89060
331;Address;Italy;Potenza;Via Maurilio, 82;64018
336;Address;Italy;Gorizia;Via Marcantonio, 84;56025
341;Address;Italy;Trapani;Strada Filippelli, 23;74100
346;Address;Italy;Brescia;Rotonda Volterra, 25 Appartamento 45;13885
351;Address;Italy;Roma;Piazza Bruscantini, 3;60124
356;Address;Italy;Caserta;Canale Ciro, 32 Appartamento 0;63845
361;Address;Italy;Viterbo;Viale Cafarchia, 89;07022
366;Address;Italy;Bergamo;Rotonda Loretta, 594;02010
371;Address;Italy;Treviso;Contrada Nedda, 464;71010
376;Address;Italy;Cosenza;Viale Elmo, 5 Appartamento 53;73048
381;Address;Italy;Perugia;Via Fabia, 7 Piano 6;86018
386;Address;Italy;Pordenone;Stretto Alfredo, 56 Appartamento 49;67028
391;Address;Italy;Parma;Incrocio Melania, 57 Piano 1;19012
396;Address;Italy;Potenza;Via Guarneri, 99;87040
401;Address;Italy;Nuoro;Piazza Bernardi, 65;13864
403;Address;Italy;Pordenone;Borgo Troisi, 80 Appartamento 2;45026
405;Address;Italy;Parma;Rotonda Boezio, 690 Appartamento 0;55019
407;Address;Italy;Treviso;Incrocio Annamaria, 20 Piano 0;73026
409;Address;Italy;Livorno;Incrocio Bignardi, 16 Piano 5;35047
411;Address;Italy;Ancona;Incrocio Maria, 250;37122
413;Address;Italy;Avellino;Via Broschi, 776 Appartamento 30;34142
415;Address;Italy;Monza e della Brianza;Incrocio Mariano, 52 Appartamento 39;63839
417;Address;Italy;Prato;Rotonda Schiaparelli, 832 Appartamento 8;08036
419;Address;Italy;Treviso;Borgo Licia, 29;45035
