zip_code;city;:LABEL;street;:ID;country
76123;Ogliastra;Address;Piazza Ruggero, 6;1446;Italy
43021;Caserta;Address;Piazza Donatoni, 768 Appartamento 5;1451;Italy
47043;Caltanissetta;Address;Rotonda Praga, 781 Piano 1;1456;Italy
86020;Monza e della Brianza;Address;Via Ermes, 71;1461;Italy
01024;Bari;Address;Stretto Tomasetti, 67;1466;Italy
52100;Pescara;Address;Vicolo Coluccio, 44;1471;Italy
41012;Avellino;Address;Strada Fiorino, 32;1475;Italy
46040;Trento;Address;Viale Casini, 611 Piano 9;1479;Italy
42045;Varese;Address;Stretto Molesini, 5;1483;Italy
63095;Ravenna;Address;Stretto Ferrata, 25;1487;Italy
30026;Venezia;Address;Stretto Olivetti, 8 Appartamento 1;1491;Italy
41018;Savona;Address;Contrada Maurilio, 1 Piano 1;1495;Italy
43058;Udine;Address;Borgo Saracino, 47;1499;Italy
50141;Bari;Address;Strada Golino, 694;1503;Italy
76017;Torino;Address;Incrocio Margherita, 1 Appartamento 77;1507;Italy
20068;Trapani;Address;Stretto Gullotta, 59 Piano 2;1511;Italy
23030;Udine;Address;Canale Taccola, 157 Appartamento 11;1514;Italy
33015;Perugia;Address;Viale Tedesco, 315 Appartamento 2;1517;Italy
82036;Lucca;Address;Canale Armando, 98;1520;Italy
23861;Foggia;Address;Canale Sandro, 3;1523;Italy
00038;Vercelli;Address;Vicolo Bettin, 5 Appartamento 17;1526;Italy
67031;Parma;Address;Stretto Rizzoli, 6 Appartamento 43;1528;Italy
60035;Lodi;Address;Contrada Renzo, 7;1530;Italy
14033;Ancona;Address;Via Lucciano, 0 Piano 5;1532;Italy
98132;Barletta-Andria-Trani;Address;Canale Scaramucci, 545 Piano 1;1534;Italy
